id,year,make,model,trim1,trim2,area,train,size,color,simplified_color,stratifeature
041ac15032b7,2013,Smart,fortwo,fortwo,passion,4860721,FALSE,very very small,White,White,very very small-White
04ee951fa03f,2014,Smart,fortwo,fortwo,pure,5490246,FALSE,very very small,White,White,very very small-White
06486e5079a5,2013,Smart,fortwo,fortwo,pure,4790839,FALSE,very very small,Black,Black,very very small-Non-white
0a84dac5df69,2013,Smart,fortwo,fortwo,pure,5460198,FALSE,very very small,Red,Red,very very small-Non-white
0b352a7001b1,2014,Smart,fortwo,fortwo,pure,5465718,FALSE,very very small,Red,Red,very very small-Non-white
114185b60312,2013,Smart,fortwo,fortwo,pure,5057576,FALSE,very very small,Black,Black,very very small-Non-white
153643f3f91e,2013,FIAT,500,500,Pop,5622718,FALSE,very very small,Gray,Gray,very very small-Non-white
179926e7dc7b,2012,FIAT,500,500,Sport,5192216,FALSE,very very small,Black,Black,very very small-Non-white
1b8acaf45e23,2013,Smart,fortwo,fortwo,pure,5466432,FALSE,very very small,White,White,very very small-White
1bdeeeacc45d,2012,MINI,Cooper Convertible,Cooper Convertible,Base,5617165,FALSE,very very small,Black,Black,very very small-Non-white
1c7963267aab,2013,MINI,Roadster,Roadster,Cooper Cold Weather Pkg,5407183,FALSE,very very small,Black,Black,very very small-Non-white
1e33d24022f4,2013,Smart,fortwo,fortwo,pure,5031588,FALSE,very very small,White,White,very very small-White
1ff68f0d8005,2012,MINI,Cooper Hardtop,Cooper Hardtop,S,5660868,FALSE,very very small,White,White,very very small-White
230bb5a37042,2014,Smart,fortwo,fortwo,pure,5069665,FALSE,very very small,White,White,very very small-White
250d693e69a8,2014,Smart,fortwo,fortwo,passion,4399993,FALSE,very very small,Black,Black,very very small-Non-white
25e92bfba1e1,2013,Smart,fortwo,fortwo,pure,5459995,FALSE,very very small,Black,Black,very very small-Non-white
28e5d7cc6e94,2014,Ford,Fiesta,Fiesta,SE,5623130,FALSE,very very small,Black,Black,very very small-Non-white
2b16719d65e1,2013,Smart,fortwo,fortwo,passion,5075256,FALSE,very very small,Black,Black,very very small-Non-white
2d0123a850b0,2013,MINI,Clubman,Clubman,Cooper,5613065,FALSE,very very small,Black,Black,very very small-Non-white
2e531d3cfc48,2014,Scion,iQ,iQ,Base,5185139,FALSE,very very small,Red,Red,very very small-Non-white
35843c211d33,2012,MINI,Cooper Hardtop,Cooper Hardtop,,5238853,FALSE,very very small,Gray,Gray,very very small-Non-white
3647b9225824,2013,Smart,fortwo,fortwo,passion,5086335,FALSE,very very small,Red,Red,very very small-Non-white
3adced94e027,2013,MINI,Hardtop,Hardtop,Cooper,5212127,FALSE,very very small,Black,Black,very very small-Non-white
3d04655f7d7e,2015,Smart,fortwo,fortwo,pure,5053769,FALSE,very very small,Black,Black,very very small-Non-white
429e121544c8,2014,Scion,iQ,iQ,10 Series,5475259,FALSE,very very small,White,White,very very small-White
43ceca19eadc,2011,Ford,Fiesta,Fiesta,SE,5642214,FALSE,very very small,Black,Black,very very small-Non-white
4adf21536327,2013,MINI,Coupe,Coupe,Cooper,4972845,FALSE,very very small,Black,Black,very very small-Non-white
4b4308f6da14,2013,Smart,fortwo,fortwo,passion cabriolet,5459964,FALSE,very very small,Gray,Gray,very very small-Non-white
4ba1d7681cb7,2013,Smart,fortwo,fortwo,pure,4786598,FALSE,very very small,Black,Black,very very small-Non-white
4bdf4a09d6c4,2013,FIAT,500,500,Pop,5272687,FALSE,very very small,White,White,very very small-White
4f37105bc81a,2014,Smart,fortwo,fortwo,passion,5064726,FALSE,very very small,White,White,very very small-White
504a98c7826f,2015,Smart,fortwo,fortwo,passion,5037771,FALSE,very very small,White,White,very very small-White
537ca05fad54,2013,Smart,fortwo,fortwo,pure,5484020,FALSE,very very small,Gray,Gray,very very small-Non-white
57a88e2cf366,2014,Scion,iQ,iQ,Base,5596734,FALSE,very very small,Black,Black,very very small-Non-white
57e832eaac62,2012,Scion,iQ,iQ,Base,4879430,FALSE,very very small,Teal,Others,very very small-Non-white
5d6c479e106b,2013,Smart,fortwo,fortwo,passion,4843728,FALSE,very very small,White,White,very very small-White
6478e604a756,2013,Smart,fortwo,fortwo,passion cabriolet,4831032,FALSE,very very small,Black,Black,very very small-Non-white
6819513c07bf,2013,Smart,fortwo,fortwo,passion,5045574,FALSE,very very small,Gray,Gray,very very small-Non-white
698ff6111cec,2013,Smart,fortwo,fortwo,passion,5080575,FALSE,very very small,Gray,Gray,very very small-Non-white
699f47059655,2013,Smart,fortwo,fortwo,pure,5053753,FALSE,very very small,Black,Black,very very small-Non-white
6d636013fbbf,2015,FIAT,500,500,Pop,5689995,FALSE,very very small,Gray,Gray,very very small-Non-white
7803648fb0e0,2012,Scion,iQ,iQ,Base,4868789,FALSE,very very small,Gray,Gray,very very small-Non-white
7d7716fdf4ab,2014,Smart,fortwo,fortwo,pure,5488535,FALSE,very very small,White,White,very very small-White
7dcde764b655,2014,Smart,fortwo,fortwo,pure,5052975,FALSE,very very small,Black,Black,very very small-Non-white
7f77b6731516,2013,Smart,fortwo,fortwo,passion,5043063,FALSE,very very small,White,White,very very small-White
7fef00c2ba2d,2013,Smart,fortwo,fortwo,pure,5047094,FALSE,very very small,Black,Black,very very small-Non-white
831acaf0ff4e,2012,Scion,iQ,iQ,Base,5304821,FALSE,very very small,White,White,very very small-White
83b668e82984,2013,Smart,fortwo,fortwo,passion,5586615,FALSE,very very small,Black,Black,very very small-Non-white
83bccefca2a6,2013,MINI,Hardtop,Hardtop,Cooper S,5634689,FALSE,very very small,Black,Black,very very small-Non-white
84637853cf16,2013,Smart,fortwo,fortwo,passion cabriolet,5045686,FALSE,very very small,Gray,Gray,very very small-Non-white
8772ace0a898,2012,Scion,iQ,iQ,Base,4880387,FALSE,very very small,Red,Red,very very small-Non-white
8ed6bff2a20a,2015,Smart,fortwo,fortwo,pure,5064762,FALSE,very very small,Black,Black,very very small-Non-white
90ea4b5f292c,2013,Smart,fortwo,fortwo,pure,5482448,FALSE,very very small,Black,Black,very very small-Non-white
92618cef9722,2014,Ford,Fiesta,Fiesta,SE,5607262,FALSE,very very small,Black,Black,very very small-Non-white
9440cef2d1b8,2012,Scion,iQ,iQ,Base,5490540,FALSE,very very small,Black,Black,very very small-Non-white
94bc4d3658e1,2015,FIAT,500,500,Pop,5552409,FALSE,very very small,Gray,Gray,very very small-Non-white
97e8035be942,2013,Smart,fortwo,fortwo,passion,5621076,FALSE,very very small,Yellow,Others,very very small-Non-white
98d149292e91,2013,Smart,fortwo,fortwo,pure,4249161,FALSE,very very small,Yellow,Others,very very small-Non-white
9b699e8dcf13,2014,Smart,fortwo,fortwo,passion,5471224,FALSE,very very small,White,White,very very small-White
9e5a25320dd5,2013,Smart,fortwo,fortwo,passion,5473348,FALSE,very very small,White,White,very very small-White
a03553baddf3,2015,Smart,fortwo,fortwo,passion,5033801,FALSE,very very small,White,White,very very small-White
a43734ce9e00,2013,Smart,fortwo,fortwo,pure,5100464,FALSE,very very small,White,White,very very small-White
a51a4182d41d,2014,Smart,fortwo,fortwo,passion,5459745,FALSE,very very small,Gray,Gray,very very small-Non-white
a5b4da08eff0,2013,Smart,fortwo,fortwo,pure,5457308,FALSE,very very small,Black,Black,very very small-Non-white
a5d32bd4d378,2013,Smart,fortwo,fortwo,pure,5464092,FALSE,very very small,White,White,very very small-White
a6c9e8728c10,2014,Smart,fortwo,fortwo,pure,5041069,FALSE,very very small,Black,Black,very very small-Non-white
a8462ef0a5a7,2013,Smart,fortwo,fortwo,pure,5048846,FALSE,very very small,Gray,Gray,very very small-Non-white
ab07fa8331cb,2013,Smart,fortwo,fortwo,pure,5076949,FALSE,very very small,White,White,very very small-White
abe4bbd3dbfb,2012,Scion,iQ,iQ,Base,5512243,FALSE,very very small,Black,Black,very very small-Non-white
b3e260f73c07,2013,Smart,fortwo,fortwo,passion cabriolet,5449728,FALSE,very very small,White,White,very very small-White
b69800b983f0,2013,Smart,fortwo,fortwo,pure,5051614,FALSE,very very small,Black,Black,very very small-Non-white
b71207b4bc84,2013,Scion,iQ,iQ,Base,5154489,FALSE,very very small,Black,Black,very very small-Non-white
